Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diafra Sakho,15.0,sn SEN,FW,25-276,90,1,0,0,0,8,3,0,0,1,4,3,2,1,2,0,,,West Ham United
Victor Moses,20.0,ng NGA,AM,24-288,56,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,,West Ham United
Pedro Obiang,14.0,gq EQG,MF,23-183,34,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,22-223,71,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,,,West Ham United
Andy Carroll,9.0,eng ENG,FW,26-263,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,West Ham United
Dimitri Payet,27.0,fr FRA,AM,28-181,90,0,1,0,0,1,1,0,0,1,2,0,13,0,2,0,,,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,DM,25-279,90,1,0,0,0,4,2,0,0,1,1,0,0,4,2,0,,,West Ham United
Mark Noble,16.0,eng ENG,DM,28-141,84,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,,West Ham United
Mauro Zárate,10.0,ar ARG,"FW,MF",28-192,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,25-285,90,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,,,West Ham United
Winston Reid,2.0,nz NZL,CB,27-085,90,0,0,0,0,2,1,0,0,1,5,0,0,3,2,0,,,West Ham United
James Tomkins,5.0,eng ENG,CB,26-181,90,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,,,West Ham United
Carl Jenkinson,12.0,eng ENG,RB,23-230,90,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,,,West Ham United
Adrián,13.0,es ESP,GK,28-266,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Ham United
14 Players,,,,,990,2,2,0,0,19,7,0,0,7,17,3,24,16,19,0,,,West Ham United
