Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Enner Valencia,11.0,ec ECU,FW,26-059,63,0,1,0,0,2,0,0,0,1,2,0,2,2,2,0,,,West Ham United
Dimitri Payet,27.0,fr FRA,"FW,MF",28-279,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,West Ham United
Andy Carroll,9.0,eng ENG,FW,26-361,90,1,0,0,0,5,5,0,0,2,1,1,0,0,0,0,,,West Ham United
Manuel Lanzini,10.0,ar ARG,RM,22-321,38,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,,,West Ham United
Pedro Obiang,14.0,gq EQG,MF,23-281,52,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,West Ham United
Mark Noble,16.0,eng ENG,CM,28-239,90,0,1,0,0,1,1,0,0,1,3,0,1,5,6,0,,,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,CM,26-012,90,0,0,0,0,1,1,0,0,0,2,0,0,1,3,0,,,West Ham United
Michail Antonio,30.0,jm JAM,LM,25-280,85,1,0,0,0,5,3,0,0,1,0,0,2,1,1,0,,,West Ham United
Carl Jenkinson,12.0,eng ENG,DF,23-328,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,26-018,90,0,0,0,0,2,0,0,0,0,0,0,5,0,5,0,,,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,27-224,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,West Ham United
James Collins,19.0,wls WAL,CB,32-132,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,West Ham United
James Tomkins,5.0,eng ENG,RB,26-279,90,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,,,West Ham United
Adrián,13.0,es ESP,GK,28-364,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,West Ham United
14 Players,,,,,990,2,2,0,0,18,10,1,0,11,8,1,12,15,27,0,,,West Ham United
Christian Benteke,9.0,be BEL,FW,25-030,90,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,,,Liverpool
Philippe Coutinho,10.0,br BRA,AM,23-204,90,0,0,0,0,6,0,0,0,0,3,0,5,3,1,0,,,Liverpool
Jordon Ibe,33.0,eng ENG,AM,20-025,90,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,,,Liverpool
Roberto Firmino,11.0,br BRA,AM,24-092,60,0,0,0,0,3,1,0,0,0,3,0,0,3,1,0,,,Liverpool
Adam Lallana,20.0,eng ENG,"FW,MF",27-237,30,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,,Liverpool
Lucas Leiva,21.0,br BRA,DM,28-358,90,0,0,0,0,1,1,1,0,2,1,0,1,3,0,0,,,Liverpool
Emre Can,23.0,de GER,DM,21-355,90,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,,,Liverpool
Alberto Moreno,18.0,es ESP,LB,23-181,60,0,0,0,0,2,0,0,0,0,1,0,7,1,1,0,,,Liverpool
Brad Smith,44.0,au AUS,"DF,MF",21-268,30,0,0,0,0,1,0,0,0,0,1,0,3,2,1,0,,,Liverpool
Mamadou Sakho,17.0,fr FRA,CB,25-323,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Liverpool
Joe Allen,24.0,wls WAL,MF,25-294,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,Liverpool
Dejan Lovren,6.0,hr CRO,CB,26-181,90,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,,,Liverpool
Nathaniel Clyne,2.0,eng ENG,RB,24-272,90,0,0,0,0,0,0,0,0,2,1,0,3,1,5,0,,,Liverpool
Simon Mignolet,22.0,be BEL,GK,27-302,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Liverpool
14 Players,,,,,990,0,0,0,0,23,2,1,0,8,10,3,33,18,13,0,,,Liverpool
