Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Aleksandar Mitrović,45.0,rs SRB,FW,21-186,90,1,0,0,0,4,2,1,0,5,1,0,0,1,0,0,,,Newcastle United
Moussa Sissoko,7.0,fr FRA,DM,26-217,90,0,0,0,0,2,1,0,0,0,1,0,4,1,3,0,,,Newcastle United
Andros Townsend,25.0,eng ENG,AM,24-248,75,0,0,0,0,2,1,0,0,0,0,0,6,2,0,0,,,Newcastle United
Papiss Cissé,9.0,sn SEN,FW,30-291,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Newcastle United
Ayoze Pérez,17.0,es ESP,AM,22-235,90,0,0,0,0,4,2,0,0,1,4,0,2,1,1,0,,,Newcastle United
Georginio Wijnaldum,5.0,nl NED,AM,25-130,90,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,,,Newcastle United
Jonjo Shelvey,12.0,eng ENG,DM,24-022,90,0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,,,Newcastle United
Jack Colback,4.0,eng ENG,LB,26-148,61,0,0,0,0,0,0,1,0,4,0,0,1,2,2,0,,,Newcastle United
Siem de Jong,10.0,nl NED,"FW,MF",27-052,29,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,,,Newcastle United
Jamaal Lascelles,6.0,eng ENG,CB,22-130,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Newcastle United
Chancel Mbemba,18.0,cd COD,CB,21-225,90,0,0,0,0,1,0,0,0,2,0,0,0,3,1,0,,,Newcastle United
Daryl Janmaat,22.0,nl NED,RB,26-242,70,0,0,0,0,0,0,1,0,1,0,0,5,0,1,0,,,Newcastle United
Vurnon Anita,8.0,cw CUW,"DF,MF",26-351,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Newcastle United
Rob Elliot,21.0,ie IRL,GK,29-325,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Newcastle United
14 Players,,,,,990,1,1,0,0,17,8,4,0,14,7,1,21,20,10,0,,,Newcastle United
Jermain Defoe,18.0,eng ENG,FW,33-165,90,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0,,,Sunderland
Wahbi Khazri,10.0,tn TUN,LW,25-041,74,0,0,0,0,4,0,0,0,1,2,0,5,1,1,0,,,Sunderland
Dame N'Doye,10.0,sn SEN,FW,31-028,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Sunderland
Jack Rodwell,8.0,eng ENG,AM,25-009,90,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,Sunderland
Yann M'Vila,21.0,fr FRA,AM,25-265,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,Sunderland
Fabio Borini,9.0,it ITA,RW,24-357,90,0,0,0,0,2,1,0,0,1,5,0,2,1,0,0,,,Sunderland
Jan Kirchhoff,27.0,de GER,DM,25-171,83,0,0,0,0,0,0,0,0,2,2,0,0,6,1,0,,,Sunderland
Lee Cattermole,6.0,eng ENG,MF,27-365,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,Sunderland
Patrick van Aanholt,3.0,nl NED,LB,25-204,90,0,0,0,0,1,1,0,0,1,0,0,0,3,1,0,,,Sunderland
Younès Kaboul,15.0,fr FRA,CB,30-076,72,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,Sunderland
John O'Shea,16.0,ie IRL,"DF,MF",34-325,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Sunderland
Lamine Koné,23.0,ci CIV,CB,27-048,90,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,,,Sunderland
DeAndre Yedlin,24.0,us USA,RB,22-255,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,Sunderland
Vito Mannone,1.0,it ITA,GK,28-018,90,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,Sunderland
14 Players,,,,,990,1,0,0,0,14,4,1,0,7,14,1,7,20,6,0,,,Sunderland
