Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jonathan Walters,19.0,ie IRL,FW,32-041,90,0,0,0,0,5,2,0,0,0,0,1,1,1,0,0,,,Stoke City
Marko Arnautović,10.0,at AUT,AM,26-195,88,0,0,0,0,0,0,1,0,5,0,1,4,2,1,0,,,Stoke City
Marco van Ginkel,15.0,nl NED,MF,22-334,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Stoke City
Xherdan Shaqiri,22.0,ch SUI,AM,24-021,89,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,,,Stoke City
Peter Crouch,25.0,eng ENG,FW,34-274,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,,,Stoke City
Bojan Krkić,27.0,es ESP,AM,25-064,59,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,Stoke City
Ibrahim Afellay,14.0,nl NED,"FW,MF",29-212,31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,Stoke City
Charlie Adam,16.0,sct SCO,DM,29-325,90,0,0,0,0,2,0,1,0,1,2,0,1,0,0,0,,,Stoke City
Glenn Whelan,6.0,ie IRL,DM,31-291,90,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,,,Stoke City
Erik Pieters,3.0,nl NED,LB,27-085,90,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,,,Stoke City
Philipp Wollscheid,26.0,de GER,CB,26-239,90,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,,,Stoke City
Ryan Shawcross,17.0,eng ENG,CB,28-027,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,,,Stoke City
Glen Johnson,8.0,eng ENG,RB,31-069,90,0,0,0,0,1,0,0,0,2,1,1,4,0,2,0,,,Stoke City
Jack Butland,1.0,eng ENG,GK,22-235,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Stoke City
14 Players,,,,,990,0,0,0,0,9,2,3,0,16,6,5,19,14,9,0,,,Stoke City
