Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jermain Defoe,18.0,eng ENG,FW,33-325,90,1,0,1,1,2,1,0,0,1,1,0,0,0,1,0,1,0,Sunderland
Fabio Borini,9.0,it ITA,FW,25-151,63,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,Sunderland
Duncan Watmore,14.0,eng ENG,"FW,MF",22-172,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Sunderland
Adnan Januzaj,44.0,be BEL,FW,21-204,90,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,Sunderland
Steven Pienaar,20.0,za RSA,CM,34-163,66,0,0,0,0,0,0,1,0,1,2,0,1,2,1,0,0,0,Sunderland
Jeremain Lens,17.0,nl NED,"FW,MF",28-277,24,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,Sunderland
Lynden Gooch,46.0,us USA,CM,20-247,76,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,Sunderland
Donald Love,22.0,sct SCO,"DF,MF",21-269,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sunderland
Jack Rodwell,8.0,eng ENG,DM,25-169,90,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Sunderland
Patrick van Aanholt,3.0,nl NED,LB,25-364,90,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,0,0,Sunderland
Papy Djilobodji,5.0,sn SEN,CB,27-270,90,0,0,0,0,0,0,0,0,1,3,1,0,1,4,0,0,0,Sunderland
Lamine Koné,23.0,ci CIV,CB,27-208,90,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,Sunderland
Javier Manquillo,21.0,es ESP,RB,22-114,90,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,Sunderland
Jordan Pickford,13.0,eng ENG,GK,22-173,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Sunderland
14 Players,,,,,990,1,0,1,1,5,2,2,0,9,15,2,16,10,16,0,1,0,Sunderland
