Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Lewis Grabban,7.0,eng ENG,FW,27-327,66,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,,Norwich City
Cameron Jerome,10.0,eng ENG,FW,29-113,24,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,,,Norwich City
Robbie Brady,12.0,ie IRL,LM,23-325,90,0,0,0,0,3,0,1,0,3,2,0,10,0,0,0,,,Norwich City
Jonny Howson,8.0,eng ENG,CM,27-198,77,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,Norwich City
Vadis Odjidja-Ofoe,32.0,be BEL,"DF,MF",26-287,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Norwich City
Graham Dorrans,4.0,sct SCO,CM,28-214,90,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,,,Norwich City
Nathan Redmond,22.0,eng ENG,RM,21-274,45,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,,,Norwich City
Dieumerci Mbokani,9.0,cd COD,FW,30-013,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Norwich City
Alexander Tettey,27.0,no NOR,CM,29-245,90,0,0,0,0,0,0,1,0,1,1,0,0,2,4,0,,,Norwich City
Martin Olsson,23.0,se SWE,LB,27-202,90,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,,,Norwich City
Sébastien Bassong,6.0,cm CMR,CB,29-149,90,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,,,Norwich City
Ryan Bennett,24.0,eng ENG,CB,25-274,90,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,,,Norwich City
Andre Wisdom,3.0,eng ENG,RB,22-210,90,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,,,Norwich City
Declan Rudd,13.0,eng ENG,GK,24-323,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Norwich City
14 Players,,,,,990,0,0,0,0,7,1,3,0,10,10,5,19,9,10,0,,,Norwich City
