Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Cameron Jerome,10.0,eng ENG,FW,29-183,83,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0,,,Norwich City
Dieumerci Mbokani,9.0,cd COD,FW,30-083,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
Wes Hoolahan,14.0,ie IRL,DM,33-269,84,1,0,0,0,1,1,0,0,0,3,0,1,1,0,0,,,Norwich City
Graham Dorrans,4.0,sct SCO,"FW,MF",28-284,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Norwich City
Steven Naismith,7.0,sct SCO,AM,29-152,75,0,1,0,0,2,0,1,0,2,3,1,1,3,1,0,,,Norwich City
Martin Olsson,23.0,se SWE,"DF,MF",27-272,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Norwich City
Jonny Howson,8.0,eng ENG,DM,27-268,90,0,0,0,0,1,0,1,0,1,1,0,0,2,1,0,,,Norwich City
Gary O'Neil,28.0,eng ENG,DM,32-271,90,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,,,Norwich City
Nathan Redmond,22.0,eng ENG,DM,21-344,90,0,0,0,0,1,0,0,0,3,1,0,4,2,0,0,,,Norwich City
Robbie Brady,12.0,ie IRL,LB,24-030,90,1,0,0,0,3,1,0,0,2,0,0,8,3,3,0,,,Norwich City
Sébastien Bassong,6.0,cm CMR,CB,29-219,90,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,,Norwich City
Timm Klose,15.0,ch SUI,CB,27-280,90,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,,,Norwich City
Russell Martin,5.0,sct SCO,RB,30-040,90,0,0,0,0,3,1,0,0,3,0,0,1,1,0,0,,,Norwich City
John Ruddy,1.0,eng ENG,GK,29-112,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
14 Players,,,,,990,2,1,0,0,13,3,2,0,16,11,3,18,16,10,0,,,Norwich City
Enner Valencia,11.0,ec ECU,FW,26-101,61,0,0,0,0,1,1,0,0,0,4,4,0,1,1,0,,,West Ham United
Andy Carroll,9.0,eng ENG,FW,27-038,29,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,West Ham United
Dimitri Payet,27.0,fr FRA,FW,28-321,90,1,1,0,0,2,2,0,0,0,1,1,12,0,0,0,,,West Ham United
Michail Antonio,30.0,jm JAM,FW,25-322,69,0,0,0,0,1,1,0,0,3,2,2,1,0,1,0,,,West Ham United
Emmanuel Emenike,29.0,ng NGA,FW,28-279,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,West Ham United
Pedro Obiang,14.0,gq EQG,CM,23-323,90,0,0,0,0,1,0,1,0,3,3,0,3,4,2,0,,,West Ham United
Alexandre Song,4.0,cm CMR,CM,28-157,61,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,,,West Ham United
Victor Moses,20.0,ng NGA,"DF,FW",25-063,29,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,,,West Ham United
Mark Noble,16.0,eng ENG,CM,28-281,90,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,26-060,90,0,0,0,0,1,0,0,0,0,1,0,3,0,4,0,,,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,27-266,90,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,,,West Ham United
James Collins,19.0,wls WAL,CB,32-174,90,0,0,0,0,1,0,1,0,2,0,0,0,1,2,0,,,West Ham United
Sam Byram,22.0,eng ENG,RB,22-150,90,0,0,0,0,0,0,0,0,1,2,1,2,0,5,0,,,West Ham United
Adrián,13.0,es ESP,GK,29-041,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Ham United
14 Players,,,,,990,2,2,0,0,11,6,2,0,11,16,8,21,13,23,0,,,West Ham United
