Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Alexis Sánchez,7.0,cl CHI,FW,27-315,90,2,0,0,0,3,2,1,0,4,2,1,0,1,1,0,0,0,Arsenal
Alex Iwobi,17.0,ng NGA,AM,20-179,68,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,Arsenal
Olivier Giroud,12.0,fr FRA,FW,30-029,22,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,Arsenal
Alex Oxlade-Chamberlain,15.0,eng ENG,AM,23-075,77,0,1,0,0,4,1,0,0,0,0,0,1,4,1,0,0,0,Arsenal
Aaron Ramsey,8.0,wls WAL,MF,25-308,13,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,Arsenal
Mesut Özil,11.0,de GER,AM,28-014,90,0,1,0,0,4,2,0,0,1,1,0,7,2,1,0,0,0,Arsenal
Mohamed Elneny,35.0,eg EGY,DM,24-110,90,0,0,0,0,1,0,0,0,1,0,0,2,1,2,0,0,0,Arsenal
Francis Coquelin,34.0,fr FRA,DM,25-169,88,0,0,0,0,1,0,0,0,1,3,0,0,2,4,0,0,0,Arsenal
Ainsley Maitland-Niles,55.0,eng ENG,"DF,FW",19-061,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Arsenal
Kieran Gibbs,3.0,eng ENG,LB,27-033,90,0,1,0,0,1,0,1,0,3,1,0,3,1,2,0,0,0,Arsenal
Laurent Koscielny,6.0,fr FRA,CB,31-049,90,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,Arsenal
Shkodran Mustafi,20.0,de GER,CB,24-195,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,Arsenal
Héctor Bellerín,24.0,es ESP,RB,21-224,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,Arsenal
Petr Čech,33.0,cz CZE,GK,34-162,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Arsenal
14 Players,,,,,990,4,4,0,0,21,7,3,0,14,8,1,14,16,17,0,0,1,Arsenal
