Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Gylfi Sigurðsson,23.0,is ISL,FW,27-037,90,1,0,0,0,3,1,0,0,0,2,0,7,2,0,0,0,0,Swansea City
Leroy Fer,8.0,nl NED,AM,26-284,90,0,0,0,0,4,1,0,0,2,0,0,0,2,1,0,0,0,Swansea City
Wayne Routledge,15.0,eng ENG,DM,31-282,90,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,Swansea City
Jack Cork,24.0,eng ENG,DM,27-112,70,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,Swansea City
Ki Sung-yueng,4.0,kr KOR,MF,27-265,20,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,Swansea City
Leon Britton,7.0,eng ENG,DM,34-029,59,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,Swansea City
Borja Bastón,10.0,es ESP,FW,24-051,31,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,Swansea City
Modou Barrow,17.0,gm GAM,DM,24-002,82,0,1,0,0,1,1,0,0,1,3,0,4,0,0,0,0,0,Swansea City
Àngel Rangel,22.0,es ESP,DF,33-353,8,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,Swansea City
Neil Taylor,3.0,wls WAL,LB,27-251,90,0,0,0,0,0,0,1,0,2,1,0,3,2,1,0,0,0,Swansea City
Jordi Amat,2.0,id IDN,CB,24-208,90,0,0,0,0,1,1,0,0,0,1,0,0,3,3,0,0,0,Swansea City
Federico Fernández,33.0,ar ARG,CB,27-237,90,0,0,0,0,1,1,0,0,1,0,0,0,1,3,0,0,0,Swansea City
Kyle Naughton,26.0,eng ENG,RB,27-333,90,0,0,0,0,1,0,0,0,0,0,0,4,2,4,0,0,0,Swansea City
Łukasz Fabiański,1.0,pl POL,GK,31-180,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swansea City
14 Players,,,,,990,2,1,0,0,13,6,1,0,10,7,2,22,21,18,0,0,0,Swansea City
