Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Wilfried Bony,12.0,ci CIV,FW,27-317,71,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,Stoke City
Mame Biram Diouf,18.0,sn SEN,"FW,MF",28-311,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Stoke City
Marko Arnautović,10.0,at AUT,AM,27-186,90,0,0,0,0,2,1,0,0,1,1,0,1,1,0,0,0,0,Stoke City
Xherdan Shaqiri,22.0,ch SUI,AM,25-012,90,2,0,0,0,3,2,1,0,1,1,0,9,0,1,0,0,0,Stoke City
Joe Allen,4.0,wls WAL,AM,26-222,90,0,0,0,0,2,2,1,0,2,2,0,0,3,2,0,0,0,Stoke City
Geoff Cameron,20.0,us USA,DM,31-103,90,0,0,0,0,0,0,0,0,0,3,0,0,2,4,0,0,0,Stoke City
Glenn Whelan,6.0,ie IRL,DM,32-283,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,Stoke City
Erik Pieters,3.0,nl NED,LB,28-076,90,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,0,0,Stoke City
Bruno Martins Indi,15.0,nl NED,CB,24-257,90,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,Stoke City
Ryan Shawcross,17.0,eng ENG,CB,29-018,90,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,Stoke City
Phil Bardsley,2.0,sct SCO,RB,31-116,90,0,0,0,0,1,0,1,0,0,3,0,1,2,1,0,0,0,Stoke City
Lee Grant,33.0,eng ENG,GK,33-269,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
12 Players,,,,,990,2,1,0,0,12,6,3,0,10,15,0,13,12,13,0,0,0,Stoke City
