Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Ashley Fletcher,24.0,eng ENG,FW,21-062,90,0,0,0,0,2,1,1,0,3,2,0,3,0,0,0,0,0,West Ham United
Dimitri Payet,27.0,fr FRA,AM,29-249,90,0,0,0,0,2,0,0,0,1,0,0,4,0,1,0,0,0,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,23-292,90,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,West Ham United
Pedro Obiang,14.0,gq EQG,DM,24-251,90,0,0,0,0,2,0,0,0,1,1,0,0,2,3,0,0,0,West Ham United
Mark Noble,16.0,eng ENG,DM,29-209,72,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,West Ham United
Andy Carroll,9.0,eng ENG,FW,27-332,18,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Arthur Masuaku,26.0,cd COD,DM,23-026,90,0,0,0,0,0,0,0,0,1,1,0,4,4,3,0,0,0,West Ham United
Edimilson Fernandes,31.0,ch SUI,DM,20-232,62,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,West Ham United
André Ayew,20.0,gh GHA,"FW,MF",26-352,28,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,28-194,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Winston Reid,2.0,nz NZL,CB,28-153,90,0,0,0,0,0,0,1,0,1,1,0,1,2,4,0,0,0,West Ham United
James Collins,19.0,wls WAL,CB,33-102,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Álvaro Arbeloa,5.0,es ESP,DF,33-321,84,0,0,0,0,0,0,1,0,1,1,0,4,1,2,0,0,0,West Ham United
Darren Randolph,1.0,ie IRL,GK,29-205,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham United
14 Players,,,,,990,1,0,0,0,10,3,3,0,10,10,0,18,10,19,0,0,0,West Ham United
