Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Shane Long,7.0,ie IRL,FW,29-344,90,1,0,0,0,2,1,0,0,2,3,1,2,2,0,0,0,0,Southampton
Sofiane Boufal,19.0,ma MAR,FW,23-105,90,0,0,0,0,2,0,1,0,3,1,0,6,2,0,0,0,0,Southampton
Dušan Tadić,11.0,rs SRB,FW,28-041,73,0,1,0,0,2,0,0,0,1,1,0,11,1,1,0,0,0,Southampton
Josh Sims,39.0,eng ENG,"FW,MF",19-278,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Southampton
Steven Davis,8.0,nir NIR,CM,31-365,90,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,Southampton
Oriol Romeu,14.0,es ESP,CM,25-098,90,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,0,Southampton
Pierre Højbjerg,23.0,dk DEN,CM,21-148,51,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Southampton
Jay Rodriguez,9.0,eng ENG,"FW,MF",27-155,39,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Southampton
Sam McQueen,38.0,eng ENG,LB,21-329,90,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,0,0,Southampton
Virgil van Dijk,17.0,nl NED,CB,25-176,88,0,0,0,0,0,0,2,1,3,2,0,0,2,4,0,0,0,Southampton
Maya Yoshida,3.0,jp JPN,CB,28-129,90,0,0,0,0,0,0,0,0,1,5,0,0,2,1,0,0,0,Southampton
Cuco Martina,15.0,cw CUW,RB,27-097,74,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,Southampton
James Ward-Prowse,16.0,eng ENG,MF,22-060,16,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,Southampton
Fraser Forster,1.0,eng ENG,GK,28-289,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southampton
14 Players,,,,,988,1,1,0,0,10,1,3,1,13,17,1,38,18,9,0,0,0,Southampton
