Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diego Costa,19.0,es ESP,FW,26-313,90,0,0,0,0,1,0,0,0,2,5,1,0,1,0,0,,,Chelsea
Eden Hazard,10.0,be BEL,AM,24-221,90,0,0,0,0,1,1,1,0,1,3,0,1,0,0,0,,,Chelsea
Ramires,7.0,br BRA,AM,28-145,63,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,,,Chelsea
Juan Cuadrado,11.0,co COL,"DF,FW",27-082,27,0,0,0,0,1,1,0,0,0,2,0,1,0,1,0,,,Chelsea
Willian,22.0,br BRA,AM,27-007,78,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,,,Chelsea
Radamel Falcao,9.0,co COL,FW,29-187,12,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,,,Chelsea
Nemanja Matić,21.0,rs SRB,DM,27-015,90,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,,,Chelsea
Cesc Fàbregas,4.0,es ESP,DM,28-104,90,0,0,0,0,1,0,0,0,4,2,0,4,5,5,0,,,Chelsea
César Azpilicueta,28.0,es ESP,LB,25-353,90,0,0,0,0,0,0,0,0,3,0,1,2,1,1,0,,,Chelsea
John Terry,26.0,eng ENG,CB,34-252,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chelsea
Kurt Zouma,5.0,fr FRA,DF,20-293,45,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,Chelsea
Gary Cahill,24.0,eng ENG,CB,29-240,90,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,,,Chelsea
Branislav Ivanović,2.0,rs SRB,RB,31-175,90,0,0,0,0,1,0,1,0,1,3,0,4,3,1,0,,,Chelsea
Asmir Begović,1.0,ba BIH,GK,28-057,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Chelsea
14 Players,,,,,990,0,0,0,0,10,3,2,0,13,19,3,16,15,15,0,,,Chelsea
