Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Salomón Rondón,9.0,ve VEN,FW,26-199,80,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,,,West Bromwich Albion
Victor Anichebe,10.0,ng NGA,FW,27-345,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,West Bromwich Albion
Saido Berahino,18.0,bi BDI,FW,22-242,77,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,,,West Bromwich Albion
Jonathan Leko,45.0,eng ENG,"FW,MF",16-344,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,West Bromwich Albion
Craig Gardner,8.0,eng ENG,LM,29-129,70,0,0,0,0,1,0,1,0,0,2,0,3,1,2,0,,,West Bromwich Albion
James McClean,14.0,ie IRL,"DF,FW",26-346,20,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,,,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,CM,32-061,90,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,,,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,RM,28-259,90,0,0,0,0,0,0,0,0,4,1,0,0,1,3,0,,,West Bromwich Albion
Sandro,30.0,br BRA,CM,27-018,90,0,0,0,0,1,0,0,0,1,1,0,1,2,4,0,,,West Bromwich Albion
James Chester,4.0,wls WAL,CB,27-070,90,0,0,0,0,0,0,0,0,0,1,0,1,5,2,0,,,West Bromwich Albion
Jonny Evans,6.0,nir NIR,LB,28-090,90,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,,,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,36-119,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,25-332,90,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,,,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,32-365,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Bromwich Albion
14 Players,,,,,990,0,0,0,0,3,0,2,0,13,10,0,16,12,20,0,,,West Bromwich Albion
