Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Abel Hernández,9.0,uy URU,FW,26-012,90,1,0,0,0,3,2,0,0,2,1,2,0,0,0,0,0,0,Hull City
Adama Diomande,20.0,no NOR,FW,26-188,72,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,Hull City
Shaun Maloney,15.0,sct SCO,"FW,MF",33-209,18,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,Hull City
Robert Snodgrass,10.0,sct SCO,FW,28-348,90,0,0,0,0,1,0,0,0,1,0,1,3,2,0,0,0,0,Hull City
Sam Clucas,11.0,eng ENG,CM,25-330,90,0,0,0,0,1,0,0,0,1,1,0,0,3,2,0,0,0,Hull City
Tom Huddlestone,8.0,eng ENG,CM,29-236,90,0,0,0,0,1,0,0,0,2,1,1,0,1,2,0,0,0,Hull City
David Meyler,7.0,ie IRL,CM,27-083,90,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,Hull City
Andrew Robertson,3.0,sct SCO,LB,22-162,90,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,Hull City
Curtis Davies,6.0,sl SLE,CB,31-158,90,0,1,0,0,2,1,0,0,1,0,0,0,1,9,0,0,0,Hull City
Jake Livermore,14.0,eng ENG,CB,26-280,90,0,0,0,0,1,1,0,0,2,0,0,0,2,2,0,0,0,Hull City
Ahmed Elmohamady,27.0,eg EGY,RB,28-346,90,0,0,0,0,0,0,0,0,1,0,0,2,4,4,0,0,0,Hull City
Eldin Jakupović,16.0,ch SUI,GK,31-323,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hull City
12 Players,,,,,990,2,2,0,0,13,5,0,0,10,7,5,5,18,26,0,0,0,Hull City
