Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Olivier Giroud,12.0,fr FRA,FW,29-154,90,0,0,0,0,4,1,0,0,2,2,1,1,2,1,0,,,Arsenal
Alexis Sánchez,7.0,cl CHI,AM,27-074,74,0,1,0,0,4,0,0,0,1,1,0,1,2,0,0,,,Arsenal
Theo Walcott,14.0,eng ENG,"FW,MF",26-352,16,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,,,Arsenal
Joel Campbell,28.0,cr CRC,AM,23-250,63,1,0,0,0,3,1,0,0,2,1,0,1,1,1,0,,,Arsenal
Danny Welbeck,23.0,eng ENG,"FW,MF",25-097,27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,Arsenal
Mesut Özil,11.0,de GER,AM,27-139,90,0,0,0,0,1,0,0,0,0,3,0,9,2,0,0,,,Arsenal
Francis Coquelin,34.0,fr FRA,DM,24-294,90,0,0,0,0,1,0,0,0,1,0,0,0,6,7,0,,,Arsenal
Aaron Ramsey,16.0,wls WAL,DM,25-067,90,0,0,0,0,1,0,0,0,0,2,0,3,2,1,0,,,Arsenal
Nacho Monreal,18.0,es ESP,LB,30-005,90,0,0,0,0,1,0,0,0,0,1,2,2,2,2,0,,,Arsenal
Gabriel Paulista,5.0,br BRA,CB,25-097,90,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,,,Arsenal
Per Mertesacker,4.0,de GER,CB,31-155,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Arsenal
Héctor Bellerín,24.0,es ESP,RB,20-349,90,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0,,,Arsenal
Petr Čech,33.0,cz CZE,GK,33-287,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Arsenal
13 Players,,,,,990,1,1,0,0,18,4,0,0,8,11,3,22,21,18,0,,,Arsenal
