Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Dieumerci Mbokani,9.0,cd COD,FW,30-036,87,1,0,0,0,1,1,0,0,0,6,2,0,0,1,0,,,Norwich City
Cameron Jerome,10.0,eng ENG,FW,29-136,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Norwich City
Wes Hoolahan,14.0,ie IRL,AM,33-222,87,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,,,Norwich City
Vadis Odjidja-Ofoe,32.0,be BEL,"DF,MF",26-310,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
Nathan Redmond,22.0,eng ENG,DM,21-297,90,0,1,0,0,2,2,0,0,2,3,0,8,3,2,0,,,Norwich City
Alexander Tettey,27.0,no NOR,DM,29-268,90,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,,,Norwich City
Graham Dorrans,4.0,sct SCO,DM,28-237,84,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,,,Norwich City
Gary O'Neil,28.0,eng ENG,MF,32-224,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,,Norwich City
Jonny Howson,8.0,eng ENG,DM,27-221,90,1,0,0,0,2,1,0,0,0,1,0,3,4,0,0,,,Norwich City
Robbie Brady,12.0,ie IRL,LB,23-348,90,0,0,0,0,2,0,0,0,2,1,0,4,3,2,0,,,Norwich City
Sébastien Bassong,6.0,cm CMR,CB,29-172,90,0,0,0,0,1,0,0,0,2,3,0,0,1,3,0,,,Norwich City
Ryan Bennett,24.0,eng ENG,CB,25-297,90,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,,Norwich City
Russell Martin,5.0,sct SCO,RB,29-358,90,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,,,Norwich City
Declan Rudd,13.0,eng ENG,GK,24-346,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
14 Players,,,,,990,2,2,0,0,9,4,2,0,10,19,2,16,20,15,0,,,Norwich City
